Education,Status,Others,Skin Color,Sex
 Bachelors, Never-married, Adm-clerical, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 HS-grad, Divorced, Handlers-cleaners, White, Male
 11th, Married-civ-spouse, Handlers-cleaners, Black, Male
 Bachelors, Married-civ-spouse, Prof-specialty, Black, Female
 Masters, Married-civ-spouse, Exec-managerial, White, Female
 9th, Married-spouse-absent, Other-service, Black, Female
 HS-grad, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Never-married, Prof-specialty, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, Black, Male
 Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander, Male
 Bachelors, Never-married, Adm-clerical, White, Female
 Assoc-acdm, Never-married, Sales, Black, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male
 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo, Male
 HS-grad, Never-married, Farming-fishing, White, Male
 HS-grad, Never-married, Machine-op-inspct, White, Male
 11th, Married-civ-spouse, Sales, White, Male
 Masters, Divorced, Exec-managerial, White, Female
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Separated, Other-service, Black, Female
 9th, Married-civ-spouse, Farming-fishing, Black, Male
 11th, Married-civ-spouse, Transport-moving, White, Male
 HS-grad, Divorced, Tech-support, White, Female
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 Some-college, Married-civ-spouse, ?, Asian-Pac-Islander, Male
 HS-grad, Divorced, Exec-managerial, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Assoc-acdm, Never-married, Protective-serv, White, Male
 Some-college, Never-married, Sales, Black, Male
 Bachelors, Divorced, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Adm-clerical, White, Male
 Some-college, Married-civ-spouse, Other-service, Black, Male
 11th, Never-married, Machine-op-inspct, White, Male
 Some-college, Never-married, Machine-op-inspct, White, Male
 HS-grad, Married-AF-spouse, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Married-civ-spouse, Prof-specialty, White, Male
 9th, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Bachelors, Married-civ-spouse, Tech-support, White, Male
 HS-grad, Separated, Adm-clerical, White, Female
 HS-grad, Never-married, Handlers-cleaners, White, Male
 Bachelors, Married-civ-spouse, Prof-specialty, Black, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Masters, Divorced, Exec-managerial, White, Female
 Assoc-voc, Married-civ-spouse, Craft-repair, White, Male
 Assoc-voc, Never-married, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Exec-managerial, Other, Female
 HS-grad, Never-married, Other-service, White, Female
 Prof-school, Married-civ-spouse, Prof-specialty, White, Female
 Bachelors, Divorced, Exec-managerial, White, Male
 HS-grad, Divorced, Exec-managerial, White, Male
 Some-college, Married-civ-spouse, Tech-support, White, Male
 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male
 Assoc-voc, Married-civ-spouse, Other-service, White, Male
 HS-grad, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male
 Bachelors, Married-civ-spouse, Sales, White, Male
 7th-8th, Married-spouse-absent, ?, White, Male
 HS-grad, Married-civ-spouse, Transport-moving, White, Male
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Tech-support, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 Some-college, Divorced, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Adm-clerical, White, Female
 Some-college, Married-civ-spouse, Exec-managerial, White, Male
 Some-college, Never-married, ?, White, Male
 Some-college, Never-married, Prof-specialty, White, Male
 Bachelors, Separated, Sales, Black, Female
 Bachelors, Married-civ-spouse, Sales, White, Male
 Some-college, Never-married, Machine-op-inspct, White, Male
 Some-college, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Never-married, Other-service, White, Male
 Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male
 10th, Married-civ-spouse, ?, White, Male
 11th, Never-married, Other-service, White, Female
 7th-8th, Married-civ-spouse, Farming-fishing, White, Male
 HS-grad, Never-married, Sales, White, Male
 Bachelors, Married-civ-spouse, Other-service, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Female
 HS-grad, Married-civ-spouse, Sales, White, Male
 HS-grad, Divorced, Craft-repair, White, Female
 HS-grad, Divorced, Sales, White, Female
 HS-grad, Married-civ-spouse, Protective-serv, White, Male
 Masters, Married-civ-spouse, Prof-specialty, White, Male
 9th, Never-married, Sales, White, Male
 Doctorate, Never-married, Prof-specialty, White, Female
 Assoc-voc, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Divorced, Craft-repair, White, Female
 Some-college, Divorced, Machine-op-inspct, Black, Female
 HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander, Female
 Bachelors, Married-civ-spouse, Protective-serv, White, Male
 Some-college, Never-married, Handlers-cleaners, White, Male
 Doctorate, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Assoc-acdm, Divorced, Exec-managerial, White, Female
 HS-grad, Never-married, Other-service, Black, Male
 Masters, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Masters, Never-married, Prof-specialty, White, Female
 Some-college, Never-married, Tech-support, White, Female
 HS-grad, Never-married, Craft-repair, White, Male
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
 10th, Never-married, ?, White, Female
 11th, Never-married, Handlers-cleaners, White, Male
 HS-grad, Never-married, Adm-clerical, White, Female
 HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male
 Bachelors, Never-married, Sales, White, Male
 Prof-school, Married-civ-spouse, Prof-specialty, White, Male
 HS-grad, Married-civ-spouse, Other-service, White, Male
 Some-college, Married-civ-spouse, Sales, White, Female
 HS-grad, Never-married, Machine-op-inspct, White, Female
 9th, Married-civ-spouse, Handlers-cleaners, White, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 Assoc-voc, Married-civ-spouse, Craft-repair, Black, Male
 Some-college, Married-civ-spouse, Sales, White, Male
 HS-grad, Never-married, Craft-repair, White, Male
 Some-college, Never-married, Other-service, White, Female
 Bachelors, Married-civ-spouse, Exec-managerial, White, Male
 Bachelors, Never-married, Exec-managerial, Black, Male
 Bachelors, Married-civ-spouse, Prof-specialty, White, Male
 Some-college, Never-married, Other-service, Black, Male
 Bachelors, Married-civ-spouse, Exec-managerial, White, Female
 Some-college, Never-married, Adm-clerical, White, Female
 Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Male
 HS-grad, Married-civ-spouse, ?, White, Male
 Some-college, Divorced, Craft-repair, White, Male
 Assoc-acdm, Never-married, Sales, White, Female
 HS-grad, Never-married, Other-service, White, Female
 HS-grad, Married-civ-spouse, Craft-repair, White, Male
